EntryType,Time (s),Action,Grid Row,Grid Column,Coins Before,Coins After,Seed Name,Seed Quantity Before,Seed Quantity After,Coins,Soil Level After
ACTION,2,PlaceSoil,1,5,100.0,50.0,,,,,
ACTION,2,PlantSeed,1,5,,,小麥種子,1.0,0.0,50.0,
ACTION,3,PlaceSoil,1,1,50.0,0.0,,,,,
ACTION,3,PlantSeed,1,1,,,小麥種子,1.0,0.0,0.0,
ACTION,9,Harvest,1,1,0.0,50.0,,,,,
ACTION,9,UpgradeSoil,1,1,50.0,25.0,,,,,1.0
ACTION,9,PlantSeed,1,1,,,小麥種子,6.0,5.0,25.0,
ACTION,10,Harvest,1,5,25.0,75.0,,,,,
ACTION,10,UpgradeSoil,1,5,75.0,50.0,,,,,1.0
ACTION,10,PlantSeed,1,5,,,小麥種子,6.0,5.0,50.0,
ACTION,11,PlaceSoil,0,5,50.0,0.0,,,,,
ACTION,11,PlantSeed,0,5,,,小麥種子,6.0,5.0,0.0,
ACTION,15,Harvest,1,1,0.0,50.0,,,,,
ACTION,15,PlantSeed,1,1,,,小麥種子,9.0,8.0,50.0,
ACTION,16,Harvest,1,5,50.0,100.0,,,,,
ACTION,16,UpgradeSoil,1,5,100.0,40.0,,,,,2.0
ACTION,16,PlantSeed,1,5,,,小麥種子,9.0,8.0,40.0,
ACTION,17,Harvest,0,5,40.0,90.0,,,,,
ACTION,17,UpgradeSoil,0,5,90.0,65.0,,,,,1.0
ACTION,17,PlantSeed,0,5,,,小麥種子,9.0,8.0,65.0,
ACTION,19,PlaceSoil,2,4,65.0,15.0,,,,,
ACTION,19,PlantSeed,2,4,,,小麥種子,10.0,9.0,15.0,
ACTION,21,Harvest,1,1,15.0,65.0,,,,,
ACTION,21,UpgradeSoil,1,1,65.0,5.0,,,,,2.0
ACTION,21,PlantSeed,1,1,,,小麥種子,11.0,10.0,5.0,
ACTION,22,Harvest,1,5,5.0,55.0,,,,,
ACTION,22,PlantSeed,1,5,,,小麥種子,11.0,10.0,55.0,
ACTION,23,Harvest,0,5,55.0,105.0,,,,,
ACTION,23,UpgradeSoil,0,5,105.0,45.0,,,,,2.0
ACTION,23,PlantSeed,0,5,,,小麥種子,11.0,10.0,45.0,
ACTION,25,Harvest,2,4,45.0,95.0,,,,,
ACTION,25,UpgradeSoil,2,4,95.0,70.0,,,,,1.0
ACTION,25,PlantSeed,2,4,,,小麥種子,12.0,11.0,70.0,
ACTION,26,PlaceSoil,2,5,70.0,20.0,,,,,
ACTION,26,PlantSeed,2,5,,,小麥種子,12.0,11.0,20.0,
ACTION,27,Harvest,1,1,20.0,70.0,,,,,
ACTION,27,PlantSeed,1,1,,,小麥種子,12.0,11.0,70.0,
ACTION,28,Harvest,1,5,70.0,120.0,,,,,
ACTION,28,PlantSeed,1,5,,,小麥種子,12.0,11.0,120.0,
ACTION,29,Harvest,0,5,120.0,170.0,,,,,
ACTION,29,UpgradeSoil,0,5,170.0,45.0,,,,,3.0
ACTION,29,PlantSeed,0,5,,,小麥種子,12.0,11.0,45.0,
